Metric,Dense (Mean),Dense (Std),Hybrid (Mean),Hybrid (Std),Difference
context_relevance,0.6793910000000001,0.0615481188037687,0.6448520000000001,0.07482966715727582,-0.034538999999999986
answer_relevance,0.687854,0.08584490762798083,0.6799419999999999,0.08960643598367793,-0.00791200000000003
faithfulness,0.8126409999999998,0.15669769009081783,0.8028379999999998,0.15355837818598864,-0.009803000000000006
bert_score_f1,0.873435,0.019584787824773957,0.875955,0.018622417114647582,0.0025200000000000777
